Tax Year,Credit Type,Place of Residence,County,Notes,Number of Claims,Credit Amount Claimed ($000),Average Credit,Place of Residence Sort Order
2018,NYC EITC,New York City - Bronx,Bronx,,185292,22795,123,1
2018,NYC EITC,New York City - Kings,Kings,,269570,31666,117,2
2018,NYC EITC,New York City - Manhattan,Manhattan,,103966,9928,95,3
2018,NYC EITC,New York City - Queens,Queens,,235766,23988,102,4
2018,NYC EITC,New York City - Richmond,Richmond,,29835,3317,111,5
2018,NYC EITC,"Total, Non-New York City Counties","Total, Non-New York City Counties",,6901,862,125,7
2018,NYC EITC,All Other *,Not Applicable,,8903,633,71,9
2018,NYC EITC,Grand Total,Grand Total,,840233,93188,111,65
2018,NYS EITC,New York City - Bronx,Bronx,,181152,132254,730,1
2018,NYS EITC,New York City - Kings,Kings,,258943,183420,708,2
2018,NYS EITC,New York City - Manhattan,Manhattan,,100344,57900,577,3
2018,NYS EITC,New York City - Queens,Queens,,225095,138611,616,4
2018,NYS EITC,New York City - Richmond,Richmond,,28690,19238,671,5
2018,NYS EITC,Albany,Albany,,18346,12086,659,7
2018,NYS EITC,Allegany,Allegany,,3082,2203,715,8
2018,NYS EITC,Broome,Broome,,13569,9275,684,9
2018,NYS EITC,Cattaraugus,Cattaraugus,,5756,4116,715,10
2018,NYS EITC,Cayuga,Cayuga,,5067,3399,671,11
2018,NYS EITC,Chautauqua,Chautauqua,,9997,7166,717,12
2018,NYS EITC,Chemung,Chemung,,6539,4539,694,13
2018,NYS EITC,Chenango,Chenango,,3702,2540,686,14
2018,NYS EITC,Clinton,Clinton,,5099,3202,628,15
2018,NYS EITC,Columbia,Columbia,,3642,2214,608,16
2018,NYS EITC,Cortland,Cortland,,3215,2155,670,17
2018,NYS EITC,Delaware,Delaware,,3022,1924,637,18
2018,NYS EITC,Dutchess,Dutchess,,13774,8204,596,19
2018,NYS EITC,Erie,Erie,,60533,43211,714,20
2018,NYS EITC,Essex,Essex,,2359,1497,635,21
2018,NYS EITC,Franklin,Franklin,,3548,2490,702,22
2018,NYS EITC,Fulton,Fulton,,4342,3007,693,23
2018,NYS EITC,Genesee,Genesee,,3655,2357,645,24
2018,NYS EITC,Greene,Greene,,2996,1888,630,25
2018,NYS EITC,Hamilton,Hamilton,,279,156,560,26
2018,NYS EITC,Herkimer,Herkimer,,4300,2945,685,27
2018,NYS EITC,Jefferson,Jefferson,,7792,5490,705,28
2018,NYS EITC,Lewis,Lewis,,1753,1172,669,29
2018,NYS EITC,Livingston,Livingston,,3339,2180,653,30
2018,NYS EITC,Madison,Madison,,4165,2722,654,31
2018,NYS EITC,Monroe,Monroe,,51248,35842,699,32
2018,NYS EITC,Montgomery,Montgomery,,4362,3145,721,33
2018,NYS EITC,Nassau,Nassau,,61180,38453,629,34
2018,NYS EITC,Niagara,Niagara,,14284,9542,668,35
2018,NYS EITC,Oneida,Oneida,,17882,13201,738,36
2018,NYS EITC,Onondaga,Onondaga,,31894,22534,707,37
2018,NYS EITC,Ontario,Ontario,,6322,4044,640,38
2018,NYS EITC,Orange,Orange,,23637,18161,768,39
2018,NYS EITC,Orleans,Orleans,,2881,1973,685,40
2018,NYS EITC,Oswego,Oswego,,8589,5984,697,41
2018,NYS EITC,Otsego,Otsego,,3575,2331,652,42
2018,NYS EITC,Putnam,Putnam,,3290,1730,526,43
2018,NYS EITC,Rensselaer,Rensselaer,,9327,6188,663,44
2018,NYS EITC,Rockland,Rockland,,19578,17545,896,45
2018,NYS EITC,St. Lawrence,St. Lawrence,,7010,4924,702,46
2018,NYS EITC,Saratoga,Saratoga,,9640,5736,595,47
2018,NYS EITC,Schenectady,Schenectady,,11445,7913,691,48
2018,NYS EITC,Schoharie,Schoharie,,1868,1190,637,49
2018,NYS EITC,Schuyler,Schuyler,,1295,837,646,50
2018,NYS EITC,Seneca,Seneca,,2272,1473,648,51
2018,NYS EITC,Steuben,Steuben,,6758,4585,678,52
2018,NYS EITC,Suffolk,Suffolk,,75611,48482,641,53
2018,NYS EITC,Sullivan,Sullivan,,5721,4198,734,54
2018,NYS EITC,Tioga,Tioga,,3250,2223,684,55
2018,NYS EITC,Tompkins,Tompkins,,4509,2669,592,56
2018,NYS EITC,Ulster,Ulster,,10615,6392,602,57
2018,NYS EITC,Warren,Warren,,4380,2698,616,58
2018,NYS EITC,Washington,Washington,,4265,2781,652,59
2018,NYS EITC,Wayne,Wayne,,6029,4129,685,60
2018,NYS EITC,Westchester,Westchester,,46144,29930,649,61
2018,NYS EITC,Wyoming,Wyoming,,2210,1433,648,62
2018,NYS EITC,Yates,Yates,,1503,992,660,63
2018,NYS EITC,All Other *,Not Applicable,,36623,10026,274,64
2018,NYS EITC,Grand Total,Grand Total,,1487292,986847,664,65
2018,NYS Noncustodial Parent EITC,New York City - Bronx,Bronx,,411,204,498,1
2018,NYS Noncustodial Parent EITC,New York City - Kings,Kings,,481,242,504,2
2018,NYS Noncustodial Parent EITC,New York City - Manhattan,Manhattan,,244,125,511,3
2018,NYS Noncustodial Parent EITC,New York City - Queens,Queens,,351,180,513,4
2018,NYS Noncustodial Parent EITC,New York City - Richmond,Richmond,,62,28,459,5
2018,NYS Noncustodial Parent EITC,Albany,Albany,,89,43,478,7
2018,NYS Noncustodial Parent EITC,Allegany,Allegany,,25,14,553,8
2018,NYS Noncustodial Parent EITC,Broome,Broome,,87,42,483,9
2018,NYS Noncustodial Parent EITC,Cattaraugus,Cattaraugus,,38,22,567,10
2018,NYS Noncustodial Parent EITC,Cayuga,Cayuga,,42,21,506,11
2018,NYS Noncustodial Parent EITC,Chautauqua,Chautauqua,,63,34,540,12
2018,NYS Noncustodial Parent EITC,Chemung,Chemung,,47,25,522,13
2018,NYS Noncustodial Parent EITC,Chenango,Chenango,,23,13,552,14
